context_tokens,deepseek_v4_compressed_kv_gib,uncompressed_mqa_kv_gib,fixed_state_8gib,fixed_state_16gib,fixed_state_32gib
1000,0.014778,0.116348,8.000000,16.000000,32.000000
4000,0.059113,0.465393,8.000000,16.000000,32.000000
16000,0.236273,1.861572,8.000000,16.000000,32.000000
64000,0.945091,7.446289,8.000000,16.000000,32.000000
128000,1.890182,14.892578,8.000000,16.000000,32.000000
256000,3.780365,29.785156,8.000000,16.000000,32.000000
512000,7.560730,59.570312,8.000000,16.000000,32.000000
1000000,14.767080,116.348267,8.000000,16.000000,32.000000
1048576,15.484375,122.000000,8.000000,16.000000,32.000000
2000000,29.534101,232.696533,8.000000,16.000000,32.000000
4000000,59.068203,465.393066,8.000000,16.000000,32.000000
8000000,118.136406,930.786133,8.000000,16.000000,32.000000
16000000,236.272812,1861.572266,8.000000,16.000000,32.000000
