context_tokens,"Full attention (32L, 8 KV heads, d=128, BF16)","Full attention (80L, 8 KV heads, d=128, BF16)","Qwen3.6 softmax path only (10 attn layers, 2 KV heads, d=256, BF16)"
1000,0.1220703125,0.30517578125,0.019073486328125
4000,0.48828125,1.220703125,0.0762939453125
16000,1.953125,4.8828125,0.30517578125
64000,7.8125,19.53125,1.220703125
256000,31.25,78.125,4.8828125
1000000,122.0703125,305.17578125,19.073486328125
4000000,488.28125,1220.703125,76.2939453125
16000000,1953.125,4882.8125,305.17578125
64000000,7812.5,19531.25,1220.703125
100000000,12207.03125,30517.578125,1907.3486328125
